Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-JUL-2026|ASLC|EQUITY|12746354780|64|0|181117800|0|0|2248346322|0|694100|100|0|2430158322|0|39062563|0|12279600|317654800|0|1021500|0|54961300|424979763
31-JUL-2026|ASLI|EQUITY|6250000000|196|0|4177924700|0|0|2063305900|0|0|50000|0|6241280600|0|0|0|5217500|2951900|0|550000|0|0|8719400
31-JUL-2026|ASMI|EQUITY|8958380460|16|2693479000|1847293800|0|0|4317424410|431000|41941450|0|6920800|8907490460|0|23473800|0|800|21345800|0|2437200|0|3632400|50890000
31-JUL-2026|ASPI|EQUITY|683810725|400|0|357345700|0|0|322860925|0|1500000|0|0|681706625|0|1113000|0|209900|776100|0|100|0|0|2099100
31-JUL-2026|ASPR|EQUITY|2712000000|148|0|435000|0|0|589254900|0|1317500|0|0|591007400|0|0|0|690600|220301000|0|1000|0|0|220992600
31-JUL-2026|ASRI|EQUITY|19649411888|117|78178600|9411856412|66823000|0|3488822464|285308899|2829352805|1045100|250100|16161637380|0|25908397|11015000|267235572|6733000|99628494|63649750|0|31154295|505324508
31-JUL-2026|ASRM|EQUITY|1277992036|262|63894|140101829|0|0|95085090|0|1216109|567|20447956|256915445|0|20290|0|43032|46600|0|9090674|0|84|9200680
31-JUL-2026|ASSA|EQUITY|3691137517|610|9554200|1822034577|15613373|0|1369955744|40167591|954842|3109529|10600|3261400456|0|12561880|9238760|83478305|94823300|61421760|118635079|0|49577977|429737061
31-JUL-2026|ATAP|EQUITY|1250000000|555|0|1380000|0|0|247549700|0|0|0|0|248929700|0|0|0|1031900|38400|0|0|0|0|1070300
31-JUL-2026|ATIC|EQUITY|2894201693|478|0|1157222046|0|0|636381038|0|45|0|0|1793603129|0|863645841|169900|84200|236673623|0|25000|0|0|1100598564
31-JUL-2026|ATLA|EQUITY|6199577693|50|0|6421700|0|0|6169676508|0|80|905|2000000|6178099193|0|0|0|77100|15405000|0|5996400|0|0|21478500
31-JUL-2026|ATPK|EQUITY|5760245414|0|334100|323695100|18900|0|250129894|0|12600|0|7733000|581923594|0|1509500|0|49622000|1161500|0|522312307|0|95936129|670541436
31-JUL-2026|AUTO|EQUITY|4819733000|2750|69154900|81824987|6081675|0|231239912|45500444|22180455|1941000|75|457923448|0|241671116|18957492|67246826|866075|102803339|23151093|0|50090054|504785995
31-JUL-2026|AVIA|EQUITY|61953555600|324|91773500|24648874200|38116600|0|1087406672|244718667|7678273|11703900|1940300|26132212112|18320900|5423215664|355658269|1212697871|29487009|3017291100|98855555|0|561283920|10716810288
31-JUL-2026|AWAN|EQUITY|3435000000|165|0|2637239615|0|0|337259385|0|0|0|0|2974499000|0|2710800|0|28630000|1977000|400000000|27183200|0|0|460501000
31-JUL-2026|AXIO|EQUITY|5840126500|111|0|1143379800|0|0|545777500|0|0|0|0|1689157300|0|0|0|303400|665800|0|0|0|0|969200
31-JUL-2026|AYAM|EQUITY|4000000000|422|0|86886200|0|0|3770357400|0|0|303600|0|3857547200|0|460800|0|76892200|92800|0|1007000|0|0|78452800
31-JUL-2026|AYLS|EQUITY|853423236|153|0|595004000|0|0|235910236|0|0|0|0|830914236|0|8396900|0|500400|1411700|0|12200000|0|0|22509000
31-JUL-2026|BABP|EQUITY|44458997354|50|117046900|27986397376|5725000|76|5133976176|94490200|4627601|3911595|24|33346174948|0|10450572655|0|95362800|18695900|100|45920301|0|57606422|10668158178
31-JUL-2026|BABY|EQUITY|2854826582|191|0|324600|0|0|130069851|0|0|0|0|130394451|0|2723829331|0|513200|89600|0|0|0|0|2724432131
31-JUL-2026|BACA|EQUITY|19953024885|115|367100000|10741679811|0|12686999|1462960687|1922087713|188147087|1006600|37500|14695706397|0|0|1408100|4805665089|751100|19795700|708090|0|229460160|5057788239
31-JUL-2026|BACH|EQUITY|4084430000|880|0|1045518900|0|0|592824302|0|24900|0|0|1638368102|0|0|0|40997300|416800|0|233700|0|0|41647800
31-JUL-2026|BAIK|EQUITY|1127497572|775|0|100|0|0|208565872|0|0|0|0|208565972|0|544600|0|18331000|15900|0|40100|0|0|18931600
31-JUL-2026|BAJA|EQUITY|1800000000|244|0|88300000|0|0|310049700|0|0|0|0|398349700|0|0|0|1629700|14100|0|6500|0|0|1650300
31-JUL-2026|BALI|EQUITY|3934592500|1235|38033102|2493483421|0|0|248413927|170659300|113945450|0|0|3064535200|0|291049900|0|135639700|1297700|0|0|0|0|427987300
31-JUL-2026|BANK|EQUITY|14939731085|280|2128417900|8610790335|653300|0|278765616|1176913500|168125925|300|0|12363666876|0|1214246635|15616400|298385343|294225|64278000|10698318|0|23397777|1626916698
31-JUL-2026|BAPA|EQUITY|661784520|167|0|334151900|0|0|260559603|0|62485617|0|0|657197120|0|1032500|0|1774700|37900|0|1737300|0|0|4582400
31-JUL-2026|BAPI|EQUITY|5591980103|21|38067999|1047756620|70994|51847638|2060067301|116102322|113|1068929|102500|3315084416|0|0|0|40100|19235937|0|6944300|0|0|26220337
31-JUL-2026|BATA|EQUITY|1300000000|59|0|601000|0|50000|159071470|0|0|0|0|159722470|0|0|0|1499900|1877700|54313900|3096500|0|0|60788000
31-JUL-2026|BATR|EQUITY|3025037353|92|0|354728700|0|0|2668974653|0|0|0|0|3023703353|0|0|0|1184500|149500|0|0|0|0|1334000
